"도로명","링크아이디","시점명","종점명","거리","차선수","평균속도","좌표"
"가마산로","1160006900","가마산지하차도(남측)","구로IC_가마산길_진입_1","137","2","34.62187296786994","LINESTRING(189368.976407 443125.803961, 189339.010278 443086.80326, 189295.23712 443048.728814, 189270.7255 443032.11325)"
"가마산로","1160007000","구로IC","가마산지하차도(남측)","142","2","44.0429578453021","LINESTRING(189277.45871 443022.180281, 189302.567869 443039.200894, 189347.793096 443078.538369, 189379.087355 443119.267621)"
"가마산로","1160008300","고대구로병원","가마산지하차도(남측)","736","3","25.34535995103687","LINESTRING(189690.123983 443750.774596, 189620.805639 443731.66166, 189605.823487 443722.286178, 189593.816005 443709.401591, 189586.201218 443685.862093, 189534.412964 443513.017815, 189414.651464 443184.7944, 189368.976407 443125.803961)"
"가마산로","1160008400","가마산지하차도(남측)","고대구로병원","727","3","24.178923795122888","LINESTRING(189379.087355 443119.267621, 189425.924483 443180.681123, 189545.806856 443509.23581, 189597.658859 443682.29285, 189604.412761 443703.171103, 189613.526636 443712.950715, 189625.685279 443720.559311, 189693.313678 443739.206285)"
"가마산로","1160010500","구로구청구의회","고대구로병원","539","3","21.44843174763185","LINESTRING(190168.306916 443989.828309, 189987.034526 443873.867054, 189889.78231 443815.590812, 189845.644432 443795.638928, 189690.05579 443750.75536)"
"가마산로","1160010600","고대구로병원","구로구청구의회","542","3","22.798833541346646","LINESTRING(189693.381871 443739.225521, 189849.800327 443784.34847, 189895.356308 443804.941387, 189993.353202 443863.663861, 190174.773461 443979.719708)"
"가마산로","1160011700","거리공원오거리","구로구청구의회","494","3","24.825796274961597","LINESTRING(190581.683635 444260.843242, 190457.653692 444179.527799, 190333.623748 444098.212356, 190168.25049 443989.791765)"
"가마산로","1160011800","구로구청구의회","거리공원오거리","494","3","21.755925427227343","LINESTRING(190174.829887 443979.756252, 190298.85983 444061.071695, 190422.889774 444142.387138, 190588.263032 444250.807728)"
"가마산로","1160012500","대림3동사거리","거리공원오거리","444","3","21.20595258096518","LINESTRING(190952.352827 444504.509415, 190699.957433 444337.769686, 190581.701956 444260.855205)"
"가마산로","1160012600","거리공원오거리","대림3동사거리","444","3","23.301953381016386","LINESTRING(190588.244712 444250.795764, 190706.536142 444327.733629, 190958.96732 444494.496999)"
"가마산로","1180009800","성락빌딩앞","대림3동사거리","416","3","22.516720014080903","LINESTRING(191193.966372 444840.584914, 190973.399005 444525.874376, 190951.403326 444503.731694)"
"가마산로","1180009900","대림3동사거리","성락빌딩앞","418","3","19.0645292578725","LINESTRING(190959.916821 444495.27472, 190982.636341 444518.146082, 191203.793193 444833.697709)"
"가마산로","1180010800","성락주유소앞","성락빌딩앞","272","3","22.547294098822327","LINESTRING(191426.201818 444980.611381, 191240.305038 444881.818164, 191215.032409 444862.826498, 191194.532564 444841.276731)"
"가마산로","1180010900","성락빌딩앞","성락주유소앞","268","3","20.206901953725037","LINESTRING(191203.227001 444833.005893, 191223.039123 444853.832714, 191246.764475 444871.661645, 191431.833262 444970.014832)"
"가마산로","1180011200","사러가시장앞","해군회관앞","999","2","26.001101086469532","LINESTRING(192128.794812 445149.72075, 192151.587143 445141.548704, 192420.551545 445038.18158, 192560.554321 444997.308055, 192660.691102 444971.125683, 192693.607 444965.811278, 192731.716493 444962.907569, 193097.071537 444959.552737)"
"가마산로","1180011300","해군회관앞","사러가시장앞","995","2","22.414952484959034","LINESTRING(193097.181721 444971.552231, 192732.227999 444974.903378, 192695.021677 444977.738271, 192663.170884 444982.88071, 192563.754229 445008.874794, 192424.392036 445049.561301, 192155.765123 445152.798724, 192132.844879 445161.016632)"
